Название,Автор,Рейтинг,Прочитали,Хотят прочитать,Рецензии,Цитаты
Скорбь Сатаны,Мария Корелли,Нет рейтинга,15K,15K,592,2K
Гордость и предубеждение,Джейн Остин,Нет рейтинга,92K,90K,2K,3K
Грозовой перевал,Эмили Бронте,Нет рейтинга,70K,68K,2K,2K
Портрет Дориана Грея,Оскар Уайльд,Нет рейтинга,114K,111K,2K,8K
Маленькие женщины,Луиза Мэй Олкотт,Нет рейтинга,37K,35K,1K,1K
Мастер и Маргарита,Михаил Булгаков,Нет рейтинга,131K,129K,1K,2K
Братья Карамазовы,Фёдор Достоевский,Нет рейтинга,35K,33K,787,2K
Преступление и наказание,Фёдор Достоевский,Нет рейтинга,106K,103K,1K,2K
Дракула,Брэм Стокер,Нет рейтинга,31K,30K,912,941
Мартин Иден,Джек Лондон,Нет рейтинга,70K,69K,2K,3K
Мертвые души,Николай Гоголь,Нет рейтинга,59K,58K,584,1K
Пиковая дама,Александр Пушкин,Нет рейтинга,22K,22K,345,635
Герой нашего времени,Михаил Лермонтов,Нет рейтинга,71K,70K,722,1K
Унесенные ветром. Том II,Маргарет Митчелл,Нет рейтинга,18K,18K,291,4K
Отцы и дети,Иван Тургенев,Нет рейтинга,58K,57K,649,1K
Таинственный сад,Автор не указан,Нет рейтинга,20K,20K,892,666
Унесенные ветром. Том I,Маргарет Митчелл,Нет рейтинга,20K,19K,230,4K
Анна Каренина,Лев Толстой,Нет рейтинга,61K,59K,1K,3K
451' по Фаренгейту,Рэй Брэдбери,Нет рейтинга,127K,126K,2K,5K
Джейн Эйр,Шарлотта Бронте,Нет рейтинга,93K,91K,2K,3K
Собор Парижской Богоматери,Виктор Гюго,Нет рейтинга,40K,39K,924,1K
Обломов,Иван Гончаров,Нет рейтинга,44K,43K,642,1K
Игрок,Фёдор Достоевский,Нет рейтинга,20K,20K,567,475
1984. Скотный двор,Джордж Оруэлл,Нет рейтинга,48K,47K,3K,6K
Заводной апельсин,Энтони Бёрджесс,Нет рейтинга,52K,50K,1K,796
Капитанская дочка,Александр Пушкин,Нет рейтинга,27K,27K,258,223
Аня из Зеленых Мезонинов,Люси Мод Монтгомери,Нет рейтинга,8K,8K,523,694
Фауст,Иоганн Вольфганг фон Гёте,Нет рейтинга,23K,21K,382,2K
Эмма,Джейн Остин,Нет рейтинга,19K,18K,653,787
Маленький принц,Антуан де Сент-Экзюпери,Нет рейтинга,108K,108K,1K,2K
Война и мир (в 2-х книгах),Лев Толстой,Нет рейтинга,30K,29K,313,2K
Великолепные Эмберсоны,Бут Таркингтон,Нет рейтинга,398,394,44,92
Вино из одуванчиков,Рэй Брэдбери,Нет рейтинга,65K,61K,2K,3K
Великий Гэтсби,Фрэнсис Скотт Фицджеральд,Нет рейтинга,76K,75K,2K,3K
Ромео и Джульетта,Уильям Шекспир,Нет рейтинга,38K,38K,346,2K
Убежище,Эдит Уортон,Нет рейтинга,467,464,15,26
Чувство и чувствительность,Джейн Остин,Нет рейтинга,19K,19K,614,482
Бедные люди,Фёдор Достоевский,Нет рейтинга,12K,12K,298,1K
Ревизор (сборник),Николай Гоголь,Нет рейтинга,30K,30K,156,251
Дон Кихот,Мигель де Сервантес Сааведра,Нет рейтинга,12K,12K,283,979
Демон,Михаил Лермонтов,Нет рейтинга,2K,2K,48,70
Собачье сердце,Михаил Булгаков,Нет рейтинга,31K,31K,323,331
"Франкенштейн, или современный Прометей",Мэри Шелли,Нет рейтинга,18K,17K,819,663
Время жить и время умирать,Эрих Мария Ремарк,Нет рейтинга,21K,20K,452,1K
"Франкенштейн, или Современный Прометей (сборник)",Мэри Шелли,Нет рейтинга,364,360,828,675
1984,Джордж Оруэлл,Нет рейтинга,109K,107K,2K,4K
Ваш покорный слуга кот,Нацумэ Сосэки,Нет рейтинга,2K,2K,130,419
Король в желтом,Роберт Чамберс,Нет рейтинга,1K,1K,32,42
Маленькие мужчины,Луиза Мэй Олкотт,Нет рейтинга,3K,3K,84,128
Алиса в стране чудес. Алиса в Зазеркалье,Льюис Кэрролл,Нет рейтинга,25K,25K,838,2K
Белый клык,Джек Лондон,Нет рейтинга,28K,28K,450,273
Мифы окаменелостей. От костей великанов и пальцев водяных до зубов дракона и стрел с неба,Антон Нелихов,Нет рейтинга,58,57,4,18
Красное и черное,Стендаль,Нет рейтинга,20K,19K,459,1K
Балканские мифы. От Волчьего пастыря и Златорога до Змея-Деспота и рыбы-миродержца,Наталия Осояну,Нет рейтинга,75,73,3,2
Граф Монте-Кристо. Том II,Александр Дюма,Нет рейтинга,532,521,7,2K
Старомодная девушка,Луиза Мэй Олкотт,Нет рейтинга,736,719,22,80
Подросток,Фёдор Достоевский,Нет рейтинга,7K,7K,239,1K
Волхв,Джон Фаулз,Нет рейтинга,21K,20K,883,2K
Повести Белкина,Александр Пушкин,Нет рейтинга,11K,11K,339,836
Мифы драгоценных камней. От стрел Амура и яблока Адама до живого серебра и кожи Великого Полоза,Владимир Печенкин,Нет рейтинга,65,63,4,0
Затерянный мир,Артур Конан Дойл,Нет рейтинга,10K,10K,240,187
Токийский Зодиак,Содзи Симада,Нет рейтинга,7K,6K,415,226
Обрыв,Иван Гончаров,Нет рейтинга,5K,5K,260,548
Сиддхартха,Герман Гессе,Нет рейтинга,9K,8K,328,809
Молодая гвардия,Александр Фадеев,Нет рейтинга,3K,3K,105,276
Песня жаворонка,Уилла Кэсер,Нет рейтинга,27,26,3,7
Этот неподражаемый Дживс!,Пэлем Грэнвил Вудхаус,Нет рейтинга,5K,5K,306,388
Одиссея,Гомер,Нет рейтинга,7K,7K,153,265
Путешествие к центру Земли,Жюль Верн,Нет рейтинга,9K,9K,241,149
Дворянское гнездо,Иван Тургенев,Нет рейтинга,8K,8K,317,2K
Человек-амфибия,Александр Беляев,Нет рейтинга,14K,14K,285,159
Декамерон,Джованни Боккаччо,Нет рейтинга,7K,6K,241,485
Ветер крепчает (сборник),Тацуо Хори,Нет рейтинга,56,51,4,12
Ветер в ивах,Кеннет Грэм,Нет рейтинга,5K,5K,349,299
Первая любовь (сборник),Иван Тургенев,Нет рейтинга,4K,4K,431,594
"120 дней Содома, или Школа разврата",Маркиз де Сад,Нет рейтинга,5K,4K,216,287
Свет женщины,Ромен Гари,Нет рейтинга,667,648,67,290
Легенды и мифы Древней Греции,Николай Кун,Нет рейтинга,9K,8K,143,56
Наследники. Экстравагантная история,Автор не указан,Нет рейтинга,127,125,5,37
Неточка Незванова,Фёдор Достоевский,Нет рейтинга,6K,6K,177,252
Куросиво,Токутоми Рока,Нет рейтинга,148,143,20,36
Эликсиры сатаны,Эрнст Теодор Амадей Гофман,Нет рейтинга,2K,2K,84,177
Год брачных союзов,Федор фон Цобельтиц,Нет рейтинга,38,37,4,6
Песня при свете фонарей,Идзуми Кёка,Нет рейтинга,25,24,1,2
Замок Отранто,Автор не указан,Нет рейтинга,3K,3K,218,52
Поворот винта,Генри Джеймс,Нет рейтинга,586,571,40,52
В стальных грозах,Эрнст Юнгер,Нет рейтинга,843,819,32,88
Иван Васильевич,Михаил Булгаков,Нет рейтинга,2K,2K,70,170
Записки о Кошачьем городе,Лао Шэ,Нет рейтинга,847,831,98,348
Поллианна,Элинор Портер,Нет рейтинга,20K,20K,801,770
Шагреневая кожа,Оноре де Бальзак,Нет рейтинга,11K,11K,417,1K
Дом разделенный,Перл Бак,Нет рейтинга,32,30,5,4
Доктор Живаго,Борис Пастернак,Нет рейтинга,25K,23K,757,1K
Легенда о Смерти,Анатоль Ле Бра,Нет рейтинга,170,163,11,14
Штаны господина фон Бредова,Виллибальд Алексис,Нет рейтинга,42,40,5,38
Голем,Густав Майринк,Нет рейтинга,5K,5K,261,384
Циники,Анатолий Мариенгоф,Нет рейтинга,3K,3K,218,644
Жизнь Арсеньева,Иван Бунин,Нет рейтинга,1K,1K,111,153
Записки юного врача (сборник),Михаил Булгаков,Нет рейтинга,105,104,81,70
Мост на Дрине,Иво Андрич,Нет рейтинга,647,615,99,138
Муму,Иван Тургенев,Нет рейтинга,10K,10K,97,29
Таинственный остров,Жюль Верн,Нет рейтинга,26K,25K,379,201
В краю лесов,Томас Харди,Нет рейтинга,571,566,65,174
Анна на шее (сборник),Антон Чехов,Нет рейтинга,88,87,312,382
"Небожители и чудовища мифического Китая. Сыновья Дракона, герои и злодеи великих гор и морей",Шань Мань,Нет рейтинга,30,29,2,3
Гроза (сборник),Александр Островский,Нет рейтинга,6K,6K,406,486
Тельма,Мария Корелли,Нет рейтинга,11,11,3,11
Погребальные обряды и культ предков. От завета Одина и некромантии до упырей и похорон Ярилы,Владимир Петрухин,Нет рейтинга,29,29,2,0
Капитанская дочка (сборник),Александр Пушкин,Нет рейтинга,97,97,1K,523
